GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000004,40,1626196,Josh Richardson,1610612742,Dallas Mavericks,1,9,32,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,8,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,46,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,9,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,20,266,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,63,203939,Dwight Powell,1610612742,Dallas Mavericks,1,7,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,15,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,131,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,3,19,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-65,126,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,146,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,2,3,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,1,96,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,160,203504,Trey Burke,1610612742,Dallas Mavericks,1,1,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-167,80,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,180,1628467,Maxi Kleber,1610612742,Dallas Mavericks,1,0,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,17,260,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,223,203504,Trey Burke,1610612742,Dallas Mavericks,2,9,21,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,114,240,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,244,1630182,Josh Green,1610612742,Dallas Mavericks,2,8,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,15,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,274,1626196,Josh Richardson,1610612742,Dallas Mavericks,2,6,17,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,4,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,291,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,4,32,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,221,80,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,300,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,3,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-5,31,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,316,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,2,33,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,32,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,319,1626196,Josh Richardson,1610612742,Dallas Mavericks,2,2,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,19,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,348,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,0,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,24,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,369,1626196,Josh Richardson,1610612742,Dallas Mavericks,3,10,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,84,243,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,373,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,10,5,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,70,263,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,379,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,3,9,17,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,387,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,8,43,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,67,74,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,405,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,3,7,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,0,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,419,1626196,Josh Richardson,1610612742,Dallas Mavericks,3,6,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-8,186,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,473,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,2,46,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-11,101,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,499,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,0,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-3,37,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,529,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,4,10,47,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,533,1628973,Jalen Brunson,1610612742,Dallas Mavericks,4,10,21,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,44,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,535,1628467,Maxi Kleber,1610612742,Dallas Mavericks,4,9,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-22,272,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,546,203504,Trey Burke,1610612742,Dallas Mavericks,4,8,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,1,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,550,1628973,Jalen Brunson,1610612742,Dallas Mavericks,4,8,7,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,123,2,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,558,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,4,7,39,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,13,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,562,1628973,Jalen Brunson,1610612742,Dallas Mavericks,4,7,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,2,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,594,1628973,Jalen Brunson,1610612742,Dallas Mavericks,4,5,29,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,10,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,601,1628973,Jalen Brunson,1610612742,Dallas Mavericks,4,4,32,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,21,113,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,604,1629029,Luka Doncic,1610612742,Dallas Mavericks,4,3,59,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,4,91,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,611,1626161,Willie Cauley-Stein,1610612742,Dallas Mavericks,4,3,38,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,-9,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,630,1629029,Luka Doncic,1610612742,Dallas Mavericks,4,2,45,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-62,83,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000004,651,1629029,Luka Doncic,1610612742,Dallas Mavericks,4,0,35,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-3,1,1,20201223,PHX,DAL
Shot Chart Detail,0022000008,7,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,1,11,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,230,69,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,10,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,11,11,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,50,124,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,13,1626196,Josh Richardson,1610612742,Dallas Mavericks,1,10,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,25,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,38,203939,Dwight Powell,1610612742,Dallas Mavericks,1,8,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,170,174,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,58,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,1,6,28,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,176,194,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,68,203939,Dwight Powell,1610612742,Dallas Mavericks,1,5,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,72,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,1,4,56,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,14,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,90,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,4,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,35,29,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,97,203504,Trey Burke,1610612742,Dallas Mavericks,1,3,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,14,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,129,1628467,Maxi Kleber,1610612742,Dallas Mavericks,1,0,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-82,255,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,140,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,0,0,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,24,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,166,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,10,10,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,88,132,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,184,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,9,16,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,218,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,201,1628973,Jalen Brunson,1610612742,Dallas Mavericks,2,8,28,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,14,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,217,201949,James Johnson,1610612742,Dallas Mavericks,2,7,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,24,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,264,1626196,Josh Richardson,1610612742,Dallas Mavericks,2,4,32,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,25,36,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,291,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,3,28,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,10,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,308,203504,Trey Burke,1610612742,Dallas Mavericks,2,2,24,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-98,252,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,340,1626196,Josh Richardson,1610612742,Dallas Mavericks,2,0,5,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,2,134,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,358,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,3,10,51,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,21,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,370,203939,Dwight Powell,1610612742,Dallas Mavericks,3,9,49,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,17,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,377,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,9,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,20,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,398,203504,Trey Burke,1610612742,Dallas Mavericks,3,6,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,16,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,426,203939,Dwight Powell,1610612742,Dallas Mavericks,3,5,33,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,20,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,433,203504,Trey Burke,1610612742,Dallas Mavericks,3,4,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,75,247,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,446,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,4,14,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,160,199,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,449,203504,Trey Burke,1610612742,Dallas Mavericks,3,3,50,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,48,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,475,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,2,30,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,41,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,503,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,0,38,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-164,222,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,526,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,11,42,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-47,38,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,536,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,10,43,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,32,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,542,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,10,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,13,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,546,1626196,Josh Richardson,1610612742,Dallas Mavericks,4,9,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,221,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,560,1626196,Josh Richardson,1610612742,Dallas Mavericks,4,7,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,95,254,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,566,1628973,Jalen Brunson,1610612742,Dallas Mavericks,4,7,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,0,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,597,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,5,21,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,18,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,605,1629029,Luka Doncic,1610612742,Dallas Mavericks,4,4,41,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,46,104,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,623,1629029,Luka Doncic,1610612742,Dallas Mavericks,4,3,30,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,30,34,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,632,1626196,Josh Richardson,1610612742,Dallas Mavericks,4,3,5,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-43,112,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,682,1628411,Wes Iwundu,1610612742,Dallas Mavericks,4,0,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,23,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000008,685,1630179,Tyrell Terry,1610612742,Dallas Mavericks,4,0,0,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,18,1,1,20201225,LAL,DAL
Shot Chart Detail,0022000031,8,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,11,24,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,15,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,19,1626196,Josh Richardson,1610612742,Dallas Mavericks,1,10,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,62,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,26,203939,Dwight Powell,1610612742,Dallas Mavericks,1,9,57,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,30,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,9,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,50,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,1,7,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,172,194,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,68,1628467,Maxi Kleber,1610612742,Dallas Mavericks,1,5,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-8,252,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,87,1626196,Josh Richardson,1610612742,Dallas Mavericks,1,4,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,8,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,105,1626196,Josh Richardson,1610612742,Dallas Mavericks,1,3,40,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-139,151,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,109,1626196,Josh Richardson,1610612742,Dallas Mavericks,1,3,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-138,240,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,117,203504,Trey Burke,1610612742,Dallas Mavericks,1,2,59,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-97,31,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,130,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,1,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,132,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,1,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,26,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,135,1626196,Josh Richardson,1610612742,Dallas Mavericks,1,0,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-177,178,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,139,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,0,6,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-42,100,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,157,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,11,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,61,105,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,159,201949,James Johnson,1610612742,Dallas Mavericks,2,10,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,203,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,163,1628973,Jalen Brunson,1610612742,Dallas Mavericks,2,10,25,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-52,114,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,169,1626161,Willie Cauley-Stein,1610612742,Dallas Mavericks,2,9,56,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,-15,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,177,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,8,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,218,122,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,181,1626161,Willie Cauley-Stein,1610612742,Dallas Mavericks,2,8,29,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,25,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,190,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,2,8,6,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,200,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,194,1628973,Jalen Brunson,1610612742,Dallas Mavericks,2,7,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,10,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,209,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,6,49,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,9,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,212,1628973,Jalen Brunson,1610612742,Dallas Mavericks,2,6,20,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,66,109,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,241,1628973,Jalen Brunson,1610612742,Dallas Mavericks,2,3,48,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-236,80,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,254,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,3,11,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-167,93,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,257,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,2,38,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-75,129,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,275,1626196,Josh Richardson,1610612742,Dallas Mavericks,2,1,15,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,9,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,282,203504,Trey Burke,1610612742,Dallas Mavericks,2,0,23,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,6,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,320,1626196,Josh Richardson,1610612742,Dallas Mavericks,3,9,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-159,194,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,332,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,8,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,21,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,353,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,6,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,20,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,386,1626196,Josh Richardson,1610612742,Dallas Mavericks,3,3,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-70,291,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,392,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,3,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-67,254,1,1,20201227,LAC,DAL
Shot Chart Detail,0022000031,401,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,2,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,135,210,1,1,20201227,LAC,DAL
